price,livingArea,bedrooms,bathrooms,yearBuilt,homeType,garageSpaces,streetAddress,city,latitude,longitude,house_age
3495000.0,2171.0,3.0,4.0,1939,SINGLE_FAMILY,1.0,5606 Dolphin Pl,La Jolla,32.814041137695305,-117.27110290527344,87
1095000.0,1464.0,2.0,2.0,1973,CONDO,1.0,2500 Torrey Pines Rd UNIT 502,La Jolla,32.851455688476555,-117.2496337890625,53
4900000.0,4428.0,4.0,5.0,2005,SINGLE_FAMILY,2.0,1178 Virginia Way,La Jolla,32.84298324584961,-117.27066040039062,21
599000.0,941.0,2.0,2.0,1970,CONDO,0.0,2510 Torrey Pines Rd UNIT 407,La Jolla,32.851585388183594,-117.24913024902344,56
980000.0,1714.0,3.0,3.0,1980,CONDO,2.0,3195 Morning Way,La Jolla,32.868301391601555,-117.23463439941406,46
489000.0,691.0,1.0,1.0,1972,CONDO,0.0,8529 Villa La Jolla Dr APT D,La Jolla,32.862747192382805,-117.2348861694336,54
1299000.0,992.0,2.0,2.0,1970,CONDO,1.0,457 Coast Blvd UNIT 503,La Jolla,32.84320068359375,-117.28009033203124,56
2350.0,822.0,2.0,1.0,1980,CONDO,1.0,8795 Gilman Dr UNIT H,La Jolla,32.86752700805664,-117.2366180419922,46
2150000.0,1757.0,3.0,2.0,1962,SINGLE_FAMILY,2.0,5515 Candlelight Dr,La Jolla,32.81477737426758,-117.25822448730467,64
2199000.0,1380.0,3.0,1.0,1935,SINGLE_FAMILY,2.0,735 Nautilus St,La Jolla,32.83232879638672,-117.2733383178711,91
1500000.0,1812.0,3.0,2.0,1961,SINGLE_FAMILY,2.0,2222 Bahia Dr,La Jolla,32.81949234008789,-117.2417984008789,65
2695000.0,2659.0,4.0,4.0,1968,SINGLE_FAMILY,2.0,6030 Bellevue Ave,La Jolla,32.82155990600586,-117.27058410644533,58
1825000.0,2716.0,4.0,4.0,1998,SINGLE_FAMILY,2.0,6043 Oakgate Row,La Jolla,32.83102035522461,-117.23535919189452,28
975000.0,1140.0,2.0,2.0,1992,CONDO,2.0,5726 La Jolla Blvd UNIT 201,La Jolla,32.81628799438477,-117.27141571044922,34
1395000.0,2128.0,3.0,3.0,1980,TOWNHOUSE,2.0,6509 Caminito Catalan,La Jolla,32.834484100341804,-117.2451629638672,46
1150000.0,1446.0,3.0,3.0,1992,CONDO,2.0,5439 1/2 La Jolla Blvd,La Jolla,32.811954498291016,-117.26718139648438,34
2600000.0,2339.0,4.0,4.0,1947,SINGLE_FAMILY,2.0,560 Fern Gln,La Jolla,32.834423065185554,-117.27604675292967,79
1699000.0,1065.0,2.0,1.0,1950,SINGLE_FAMILY,1.0,5559 La Jolla Hermosa Ave,La Jolla,32.813819885253906,-117.26788330078124,76
655000.0,1080.0,2.0,2.0,1987,CONDO,2.0,3979 Nobel Dr UNIT 320,San Diego,32.86745834350586,-117.2212142944336,39
516100.0,844.0,2.0,1.0,1980,CONDO,0.0,8308 Regents Rd UNIT 1B,San Diego,32.8662109375,-117.22086334228516,46
2095000.0,1992.0,4.0,5.0,1959,SINGLE_FAMILY,2.0,1632 Monmouth Dr,San Diego,32.807323455810554,-117.24226379394533,67
360000.0,1376.0,3.0,2.0,1991,CONDO,2.0,3969 Mahaila Ave UNIT 101,San Diego,32.8691291809082,-117.22046661376952,35
799000.0,1394.0,3.0,3.0,1987,TOWNHOUSE,2.0,7622 Palmilla Dr UNIT 78,San Diego,32.862403869628906,-117.22650146484376,39
1495000.0,2683.0,4.0,3.0,2000,SINGLE_FAMILY,2.0,10816 Vereda Sol Del Dios,San Diego,32.915206909179695,-117.21700286865234,26
999900.0,1841.0,3.0,3.0,2011,CONDO,2.0,2020 Hornblend St,San Diego,32.80086898803711,-117.2328643798828,15
499000.0,2752.0,4.0,3.0,2005,SINGLE_FAMILY,0.0,1432 Cliff Swallow Dr,Patterson,37.475528717041016,-121.15635681152344,21
370000.0,1130.0,3.0,2.0,1987,SINGLE_FAMILY,0.0,525 Hannah Dr,Patterson,37.48012161254883,-121.12451171875,39
